id;category;difficulty;question_fr;question_en;choices_fr;choices_en;correct;explanation_fr;explanation_en;source_hint
254;Film;1;"Quel est le nom du petit extraterrestre dans E.T. ?";"What is the name of the small alien in E.T.?";"A) E.T. | B) Gizmo | C) ALF | D) Yoda";"A) E.T. | B) Gizmo | C) ALF | D) Yoda";"A";"Le film l’appelle simplement « E.T. » (Extra-Terrestre)." ;"The film simply calls him “E.T.” (Extra-Terrestrial)."
255;Film;2;"Dans Les Aventuriers de l’arche perdue, quel objet Indiana Jones cherche-t-il ?";"In Raiders of the Lost Ark, what object is Indiana Jones searching for?";"A) Le Graal | B) L’Arche d’alliance | C) La Toison d’or | D) L’Anneau unique";"A) The Holy Grail | B) The Ark of the Covenant | C) The Golden Fleece | D) The One Ring";"B";"L’intrigue tourne autour de l’Arche d’alliance.";"The plot centers on the Ark of the Covenant."
256;Film;2;"Dans Blade Runner, comment appelle-t-on les humains artificiels traqués par Deckard ?";"In Blade Runner, what are the artificial humans hunted by Deckard called?";"A) Cylons | B) Réplicants | C) Clones | D) Synths";"A) Cylons | B) Replicants | C) Clones | D) Synths";"B";"Ils sont appelés « réplicants ».";"They are called “replicants.”"
257;Film;2;"Dans The Terminator, quel est le prénom du personnage interprété par Linda Hamilton ?";"In The Terminator, what is the first name of Linda Hamilton’s character?";"A) Sarah | B) Ellen | C) Ripley | D) Leah";"A) Sarah | B) Ellen | C) Ripley | D) Leah";"A";"Linda Hamilton joue Sarah Connor.";"Linda Hamilton plays Sarah Connor."
258;Film;2;"Dans Aliens, qui commande l’escouade de Marines coloniaux au début de la mission ?";"In Aliens, who commands the Colonial Marines squad at the start of the mission?";"A) Hicks | B) Apone | C) Hudson | D) Bishop";"A) Hicks | B) Apone | C) Hudson | D) Bishop";"B";"Le sergent Apone commande l’escouade au départ.";"Sergeant Apone commands the squad at the start."
259;Film;1;"Dans Die Hard, dans quel bâtiment se déroule l’essentiel de l’action ?";"In Die Hard, which building hosts most of the action?";"A) La tour Nakatomi | B) Le Pentagone | C) La tour Eiffel | D) Le Baxter Building";"A) Nakatomi Plaza | B) The Pentagon | C) The Eiffel Tower | D) The Baxter Building";"A";"L’intrigue se déroule dans la tour Nakatomi (Nakatomi Plaza)." ;"The story takes place in Nakatomi Plaza."
260;Film;1;"Quel est le nom du mogwai dans Gremlins ?";"What is the name of the mogwai in Gremlins?";"A) Gizmo | B) Stripe | C) Mog | D) Spike";"A) Gizmo | B) Stripe | C) Mog | D) Spike";"A";"Le mogwai s’appelle Gizmo.";"The mogwai is named Gizmo."
261;Film;2;"Dans The Shining, comment s’appelle l’hôtel où la famille Torrance s’installe ?";"In The Shining, what is the name of the hotel where the Torrance family stays?";"A) Overlook | B) Continental | C) Bates | D) Grand Budapest";"A) Overlook | B) Continental | C) Bates | D) Grand Budapest";"A";"Ils vivent à l’hôtel Overlook.";"They stay at the Overlook Hotel."
262;Film;2;"Dans Scarface, quel est le nom du personnage joué par Al Pacino ?";"In Scarface, what is the name of Al Pacino’s character?";"A) Tony Montana | B) Vito Corleone | C) Michael Corleone | D) Carlito Brigante";"A) Tony Montana | B) Vito Corleone | C) Michael Corleone | D) Carlito Brigante";"A";"Al Pacino incarne Tony Montana.";"Al Pacino plays Tony Montana."
263;Film;2;"Dans Qui veut la peau de Roger Rabbit, quel type de personnages cohabite avec les humains ?";"In Who Framed Roger Rabbit, what kind of characters coexist with humans?";"A) Des personnages de cartoons | B) Des vampires | C) Des robots | D) Des dinosaures";"A) Cartoon characters | B) Vampires | C) Robots | D) Dinosaurs";"A";"Le film mélange humains et personnages de dessins animés.";"The film blends humans with cartoon characters."
264;Film;1;"Dans Top Gun, quel est le surnom (call sign) du personnage joué par Tom Cruise ?";"In Top Gun, what is the call sign of Tom Cruise’s character?";"A) Maverick | B) Iceman | C) Goose | D) Viper";"A) Maverick | B) Iceman | C) Goose | D) Viper";"A";"Tom Cruise joue Pete « Maverick » Mitchell.";"Tom Cruise plays Pete “Maverick” Mitchell."
265;Film;1;"Dans The Karate Kid, quel est le surnom du mentor joué par Pat Morita ?";"In The Karate Kid, what is the name of Pat Morita’s mentor character?";"A) Mr. Miyagi | B) Mr. Han | C) Sensei Ken | D) Master Lee";"A) Mr. Miyagi | B) Mr. Han | C) Sensei Ken | D) Master Lee";"A";"Le mentor est Mr. Miyagi.";"The mentor is Mr. Miyagi."
266;Film;2;"Dans Beetlejuice, comment invoque-t-on l’esprit farceur ?";"In Beetlejuice, how do you summon the mischievous spirit?";"A) En disant son nom trois fois | B) En frappant trois fois au sol | C) En allumant une bougie noire | D) En chantant à minuit";"A) By saying his name three times | B) By stomping three times | C) By lighting a black candle | D) By singing at midnight";"A";"On l’invoque en répétant « Beetlejuice » trois fois.";"You summon him by repeating “Beetlejuice” three times."
267;Film;2;"Dans The Princess Bride, quelle phrase célèbre répète Inigo Montoya ?";"In The Princess Bride, which famous line does Inigo Montoya repeat?";"A) Bonjour. Mon nom est Inigo Montoya. Tu as tué mon père. Prépare-toi à mourir. | B) Je suis ton père. | C) Je reviendrai. | D) Hasta la vista, baby."; "A) Hello. My name is Inigo Montoya. You killed my father. Prepare to die. | B) I am your father. | C) I'll be back. | D) Hasta la vista, baby.";"A";"C’est sa réplique culte pour défier l’assassin de son père.";"It’s his iconic challenge to his father’s killer."
268;Film;1;"Dans Les Goonies, quel est le nom du pirate dont le trésor est recherché ?";"In The Goonies, what is the name of the pirate whose treasure is sought?";"A) Willy le Borgne | B) Barbe Noire | C) Davy Jones | D) Long John Silver";"A) One-Eyed Willy | B) Blackbeard | C) Davy Jones | D) Long John Silver";"A";"Les enfants cherchent le trésor de Willy le Borgne (One-Eyed Willy)." ;"The kids look for One-Eyed Willy’s treasure."
269;Film;2;"Dans L’Histoire sans fin, comment s’appelle le dragon-chien blanc ?";"In The NeverEnding Story, what is the name of the white luckdragon?";"A) Falkor | B) Shenron | C) Smaug | D) Drogon";"A) Falkor | B) Shenron | C) Smaug | D) Drogon";"A";"Le porte-bonheur s’appelle Falkor.";"The luckdragon is named Falkor."
270;Film;2;"Dans Labyrinth (1986), qui joue le Roi des Gobelins ?";"In Labyrinth (1986), who plays the Goblin King?";"A) David Bowie | B) Prince | C) Sting | D) Freddie Mercury";"A) David Bowie | B) Prince | C) Sting | D) Freddie Mercury";"A";"Le Roi des Gobelins est incarné par David Bowie.";"The Goblin King is played by David Bowie."
271;Série TV;1;"Dans K2000 (Knight Rider), comment s’appelle la voiture intelligente de Michael Knight ?";"In Knight Rider, what is the name of Michael Knight’s intelligent car?";"A) KITT | B) KARR | C) KIT | D) KIPS";"A) KITT | B) KARR | C) KIT | D) KIPS";"A";"La voiture s’appelle KITT.";"The car is named KITT."
272;Série TV;2;"Dans Knight Rider, quel est le nom de la voiture prototype rivale (maléfique) ?";"In Knight Rider, what is the name of the rival (evil) prototype car?";"A) KARR | B) KITT | C) KRON | D) KORB";"A) KARR | B) KITT | C) KRON | D) KORB";"A";"La voiture rivale s’appelle KARR.";"The rival car is called KARR."
273;Série TV;2;"Dans L’Agence tous risques, quel est le prénom de « Hannibal » Smith ?";"In The A-Team, what is the first name of “Hannibal” Smith?";"A) John | B) George | C) Victor | D) Templeton";"A) John | B) George | C) Victor | D) Templeton";"A";"Son nom complet est John « Hannibal » Smith.";"His full name is John “Hannibal” Smith."
274;Série TV;2;"Dans L’Agence tous risques, qui a une phobie de l’avion et doit souvent être endormi pour embarquer ?";"In The A-Team, who is afraid of flying and is often knocked out to get on planes?";"A) B.A. Baracus | B) Face | C) Murdock | D) Hannibal";"A) B.A. Baracus | B) Face | C) Murdock | D) Hannibal";"A";"B.A. Baracus a une peur panique de l’avion.";"B.A. Baracus is terrified of flying."
275;Série TV;1;"Dans MacGyver, quelle est la spécialité du héros ?";"In MacGyver, what is the hero’s specialty?";"A) Improviser des solutions avec des objets du quotidien | B) Lire dans les pensées | C) Voyager dans le temps | D) Se transformer en loup-garou";"A) Improvising solutions with everyday objects | B) Mind reading | C) Time travel | D) Turning into a werewolf";"A";"MacGyver se sort de tout grâce à la débrouille.";"MacGyver survives through ingenuity."
276;Série TV;2;"Dans MacGyver, quel objet est devenu un symbole de ses bricolages ?";"In MacGyver, which item became a symbol of his improvisations?";"A) Un trombone | B) Un sabre laser | C) Un anneau magique | D) Une baguette";"A) A paperclip | B) A lightsaber | C) A magic ring | D) A wand";"A";"Le trombone est l’objet emblématique de MacGyver.";"The paperclip is MacGyver’s emblematic item."
277;Série TV;2;"Dans Cheers, le bar se situe dans quelle ville ?";"In Cheers, the bar is located in which city?";"A) Boston | B) New York | C) Chicago | D) Seattle";"A) Boston | B) New York | C) Chicago | D) Seattle";"A";"Cheers se déroule dans un bar de Boston.";"Cheers is set in a Boston bar."
278;Série TV;1;"Dans ALF, ALF est principalement… ?";"In ALF, ALF is primarily…?";"A) Un extraterrestre | B) Un robot | C) Un chien parlant | D) Un vampire";"A) An alien | B) A robot | C) A talking dog | D) A vampire";"A";"ALF est un extraterrestre venant de Melmac.";"ALF is an alien from Melmac."
279;Série TV;2;"Dans Star Trek: The Next Generation, comment s’appelle le capitaine de l’Enterprise-D ?";"In Star Trek: The Next Generation, what is the name of the Enterprise-D captain?";"A) James T. Kirk | B) Jean-Luc Picard | C) Kathryn Janeway | D) Benjamin Sisko";"A) James T. Kirk | B) Jean-Luc Picard | C) Kathryn Janeway | D) Benjamin Sisko";"B";"Le capitaine est Jean-Luc Picard.";"The captain is Jean-Luc Picard."
280;Série TV;3;"Dans Dallas, quel personnage est au centre du mystère « Who shot J.R.? » ?";"In Dallas, which character is at the center of the “Who shot J.R.?” mystery?";"A) J.R. Ewing | B) Bobby Ewing | C) Sue Ellen | D) Cliff Barnes";"A) J.R. Ewing | B) Bobby Ewing | C) Sue Ellen | D) Cliff Barnes";"A";"Le suspense porte sur la fusillade visant J.R. Ewing.";"The suspense focuses on the shooting of J.R. Ewing."
281;Musique;1;"Quel album de Michael Jackson contient le titre Thriller ?";"Which Michael Jackson album contains the track Thriller?";"A) Thriller | B) Bad | C) Off the Wall | D) Dangerous";"A) Thriller | B) Bad | C) Off the Wall | D) Dangerous";"A";"Le titre Thriller est sur l’album Thriller (1982)." ;"The song Thriller is on the album Thriller (1982)."
282;Musique;2;"Qui a sorti l’album Purple Rain ?";"Who released the album Purple Rain?";"A) Prince | B) David Bowie | C) Elton John | D) Sting";"A) Prince | B) David Bowie | C) Elton John | D) Sting";"A";"Purple Rain est un album de Prince.";"Purple Rain is an album by Prince."
283;Musique;2;"Quel groupe est derrière le tube Take On Me ?";"Which band is behind the hit Take On Me?";"A) a-ha | B) ABBA | C) The Police | D) R.E.M."; "A) a-ha | B) ABBA | C) The Police | D) R.E.M.";"A";"Take On Me est un tube de a-ha.";"Take On Me is a hit by a-ha."
284;Musique;1;"Qui chante Like a Virgin ?";"Who sings Like a Virgin?";"A) Madonna | B) Cyndi Lauper | C) Whitney Houston | D) Tina Turner";"A) Madonna | B) Cyndi Lauper | C) Whitney Houston | D) Tina Turner";"A";"Like a Virgin est interprété par Madonna.";"Like a Virgin is performed by Madonna."
285;Musique;2;"Quel duo/groupe a chanté Sweet Dreams (Are Made of This) ?";"Which act sang Sweet Dreams (Are Made of This)?";"A) Eurythmics | B) The Cure | C) Blondie | D) The Clash";"A) Eurythmics | B) The Cure | C) Blondie | D) The Clash";"A";"C’est un morceau emblématique d’Eurythmics.";"It’s an iconic Eurythmics track."
286;Musique;2;"Quel groupe a sorti The Final Countdown ?";"Which band released The Final Countdown?";"A) Europe | B) Toto | C) Genesis | D) Queen";"A) Europe | B) Toto | C) Genesis | D) Queen";"A";"The Final Countdown est un tube du groupe Europe.";"The Final Countdown is a hit by Europe."
287;Musique;2;"Quel groupe britannique a chanté Every Breath You Take ?";"Which British band sang Every Breath You Take?";"A) The Police | B) Queen | C) Dire Straits | D) Oasis";"A) The Police | B) Queen | C) Dire Straits | D) Oasis";"A";"Every Breath You Take est un titre de The Police (1983)." ;"Every Breath You Take is a The Police song (1983)."
288;Musique;2;"Quel artiste est derrière Never Gonna Give You Up ?";"Which artist is behind Never Gonna Give You Up?";"A) Rick Astley | B) Bryan Adams | C) Phil Collins | D) Billy Idol";"A) Rick Astley | B) Bryan Adams | C) Phil Collins | D) Billy Idol";"A";"Never Gonna Give You Up est chanté par Rick Astley.";"Never Gonna Give You Up is sung by Rick Astley."
289;Musique;2;"Quel groupe a sorti l’album Appetite for Destruction ?";"Which band released the album Appetite for Destruction?";"A) Guns N' Roses | B) AC/DC | C) Metallica | D) Aerosmith";"A) Guns N' Roses | B) AC/DC | C) Metallica | D) Aerosmith";"A";"Appetite for Destruction est un album de Guns N' Roses (1987)." ;"Appetite for Destruction is a Guns N' Roses album (1987)."
290;Musique;2;"Quel groupe a chanté Just Can't Get Enough (1981) ?";"Which band sang Just Can't Get Enough (1981)?";"A) Depeche Mode | B) The Smiths | C) Joy Division | D) Pink Floyd";"A) Depeche Mode | B) The Smiths | C) Joy Division | D) Pink Floyd";"A";"Just Can't Get Enough est un titre de Depeche Mode.";"Just Can't Get Enough is a Depeche Mode song."
291;Musique;2;"Quel groupe a chanté Livin' on a Prayer ?";"Which band sang Livin' on a Prayer?";"A) Bon Jovi | B) Journey | C) KISS | D) Aerosmith";"A) Bon Jovi | B) Journey | C) KISS | D) Aerosmith";"A";"Livin' on a Prayer est un tube de Bon Jovi (1986)." ;"Livin' on a Prayer is a Bon Jovi hit (1986)."
292;Musique;2;"Quel groupe a chanté With or Without You ?";"Which band sang With or Without You?";"A) U2 | B) UB40 | C) Blur | D) Dido";"A) U2 | B) UB40 | C) Blur | D) Dido";"A";"With or Without You est un titre de U2 (1987)." ;"With or Without You is a U2 song (1987)."
293;Musique;2;"Qui est associé au tube Careless Whisper ?";"Who is associated with the hit Careless Whisper?";"A) George Michael | B) Sting | C) Rod Stewart | D) David Bowie";"A) George Michael | B) Sting | C) Rod Stewart | D) David Bowie";"A";"Careless Whisper est un tube associé à George Michael.";"Careless Whisper is associated with George Michael."
294;Musique;2;"Quel groupe a chanté Boys Don't Cry ?";"Which band sang Boys Don't Cry?";"A) The Cure | B) The Doors | C) The Who | D) The Kinks";"A) The Cure | B) The Doors | C) The Who | D) The Kinks";"A";"Boys Don't Cry est un titre associé à The Cure.";"Boys Don't Cry is associated with The Cure."
295;Musique;2;"En 1985, Queen remonte l'opinion publique avec une prestation mythique à quel événement ?";"In 1985, Queen boosted public opinion with a legendary performance at which event?";"A) Live Aid | B) Woodstock | C) Coachella | D) Glastonbury 1970";"A) Live Aid | B) Woodstock | C) Coachella | D) Glastonbury 1970";"A";"Le concert de Queen à Live Aid est devenu légendaire.";"Queen’s Live Aid set became legendary."
296;Musique;2;"Quel groupe français a chanté L'Aventurier ?";"Which French band sang L'Aventurier?";"A) Indochine | B) Téléphone | C) Noir Désir | D) Trust";"A) Indochine | B) Téléphone | C) Noir Désir | D) Trust";"A";"L'Aventurier est un titre phare d'Indochine (1982)." ;"L'Aventurier is a signature Indochine song (1982)."
297;Musique;2;"Quel chanteur français est connu pour Je te donne (avec Michael Jones) ?";"Which French singer is known for Je te donne (with Michael Jones)?";"A) Jean-Jacques Goldman | B) Renaud | C) Michel Sardou | D) Jacques Dutronc";"A) Jean-Jacques Goldman | B) Renaud | C) Michel Sardou | D) Jacques Dutronc";"A";"Je te donne est un titre de Jean-Jacques Goldman (1985)." ;"Je te donne is a Jean-Jacques Goldman song (1985)."
298;Musique;2;"Quel groupe/duo français a sorti Marcia Baïla ?";"Which French act released Marcia Baïla?";"A) Les Rita Mitsouko | B) Daft Punk | C) Air | D) Justice";"A) Les Rita Mitsouko | B) Daft Punk | C) Air | D) Justice";"A";"Marcia Baïla est un tube des Rita Mitsouko (1984)." ;"Marcia Baïla is a hit by Les Rita Mitsouko (1984)."
299;Musique;3;"Quel groupe de metal a sorti l'album Master of Puppets ?";"Which metal band released the album Master of Puppets?";"A) Metallica | B) Slayer | C) Megadeth | D) Pantera";"A) Metallica | B) Slayer | C) Megadeth | D) Pantera";"A";"Master of Puppets est un album de Metallica (1986)." ;"Master of Puppets is a Metallica album (1986)."
300;Musique;2;"Qui chante I Wanna Dance with Somebody (Who Loves Me) ?";"Who sings I Wanna Dance with Somebody (Who Loves Me)?";"A) Whitney Houston | B) Cher | C) Diana Ross | D) Aretha Franklin";"A) Whitney Houston | B) Cher | C) Diana Ross | D) Aretha Franklin";"A";"Le titre est interprété par Whitney Houston (1987)." ;"The song is performed by Whitney Houston (1987)."
301;Animation/Anime;1;"Dans Dragon Ball, comment s'appelle le héros à queue de singe ?";"In Dragon Ball, what is the name of the monkey-tailed hero?";"A) Son Goku | B) Vegeta | C) Piccolo | D) Trunks";"A) Son Goku | B) Vegeta | C) Piccolo | D) Trunks";"A";"Le protagoniste est Son Goku.";"The protagonist is Son Goku."
302;Animation/Anime;1;"Dans Les Chevaliers du Zodiaque (Saint Seiya), quel est le nom du chevalier de Pégase ?";"In Saint Seiya, what is the name of the Pegasus Saint?";"A) Seiya | B) Shiryu | C) Hyoga | D) Shun";"A) Seiya | B) Shiryu | C) Hyoga | D) Shun";"A";"Le chevalier de Pégase s'appelle Seiya.";"The Pegasus Saint is Seiya."
303;Animation/Anime;2;"Dans Ken le Survivant (Hokuto no Ken), comment s'appelle la technique de combat de Kenshiro ?";"In Fist of the North Star, what is Kenshiro’s martial art called?";"A) Hokuto Shinken | B) Hadoken | C) Nanto Seiken | D) Bushido";"A) Hokuto Shinken | B) Hadoken | C) Nanto Seiken | D) Bushido";"A";"Kenshiro maîtrise le Hokuto Shinken.";"Kenshiro uses Hokuto Shinken."
304;Animation/Anime;2;"Quel est le titre français de l'anime City Hunter ?";"What is the French title of the anime City Hunter?";"A) Nicky Larson | B) Cobra | C) Olive et Tom | D) Princesse Sarah";"A) Nicky Larson | B) Cobra | C) Captain Tsubasa | D) Princess Sarah";"A";"En France, City Hunter est connu sous le nom Nicky Larson.";"In France, City Hunter is known as Nicky Larson."
305;Animation/Anime;2;"Dans Olive et Tom (Captain Tsubasa), quel sport est au centre de l'histoire ?";"In Captain Tsubasa, which sport is central to the story?";"A) Le football | B) Le basket | C) Le baseball | D) Le rugby";"A) Soccer/football | B) Basketball | C) Baseball | D) Rugby";"A";"C'est un anime centré sur le football.";"It’s an anime focused on soccer/football."
306;Animation/Anime;1;"Dans Transformers, comment s'appelle le chef des Autobots ?";"In Transformers, what is the name of the Autobot leader?";"A) Optimus Prime | B) Megatron | C) Starscream | D) Soundwave";"A) Optimus Prime | B) Megatron | C) Starscream | D) Soundwave";"A";"Le leader des Autobots est Optimus Prime.";"The Autobot leader is Optimus Prime."
307;Animation/Anime;2;"Dans Teenage Mutant Ninja Turtles, quelle est l'arme principale de Leonardo ?";"In Teenage Mutant Ninja Turtles, what is Leonardo’s main weapon?";"A) Des katanas | B) Un bâton | C) Des saïs | D) Des nunchakus";"A) Katanas | B) A bo staff | C) Sais | D) Nunchaku";"A";"Leonardo manie deux katanas.";"Leonardo wields two katanas."
308;Animation/Anime;2;"Dans Inspecteur Gadget, comment s'appelle la nièce de Gadget dans la version originale ?";"In Inspector Gadget, what is the name of Gadget’s niece in the original version?";"A) Sophie | B) Penny | C) Julie | D) Annie";"A) Sophie | B) Penny | C) Julie | D) Annie";"B";"Dans la VO, elle s'appelle Penny (souvent renommée Sophie en VF)." ;"In the original version, she’s Penny (often renamed Sophie in French)."
309;Animation/Anime;2;"Dans DuckTales (La Bande à Picsou), comment s'appellent les trois neveux de Donald en français ?";"In DuckTales, what are Donald Duck’s three nephews called in French?";"A) Riri, Fifi, Loulou | B) Tic, Tac, Toc | C) Tom, Tim, Tam | D) Huey, Dewey, Louie";"A) Riri, Fifi, Loulou | B) Tick, Tock, Tack | C) Tom, Tim, Tam | D) Huey, Dewey, Louie";"A";"En français, Huey, Dewey, Louie sont Riri, Fifi, Loulou.";"In French, Huey, Dewey, Louie are called Riri, Fifi, Loulou."
310;Animation/Anime;3;"Dans Akira, dans quelle ville futuriste se déroule l'histoire ?";"In Akira, in which futuristic city does the story take place?";"A) Neo-Tokyo | B) Neo-Paris | C) Neo-Seoul | D) Neo-New York";"A) Neo-Tokyo | B) Neo-Paris | C) Neo-Seoul | D) Neo-New York";"A";"Akira se déroule à Neo-Tokyo.";"Akira is set in Neo-Tokyo."
311;Animation/Anime;2;"Dans Mon voisin Totoro, qui est Totoro ?";"In My Neighbor Totoro, who/what is Totoro?";"A) Un esprit de la forêt | B) Un robot géant | C) Un détective | D) Un dragon";"A) A forest spirit | B) A giant robot | C) A detective | D) A dragon";"A";"Totoro est un esprit bienveillant lié à la forêt.";"Totoro is a benevolent forest spirit."
312;Animation/Anime;2;"Dans Kiki la petite sorcière, quel est le nom du chat de Kiki ?";"In Kiki’s Delivery Service, what is the name of Kiki’s cat?";"A) Jiji | B) Luna | C) Salem | D) Garfield";"A) Jiji | B) Luna | C) Salem | D) Garfield";"A";"Le chat noir s'appelle Jiji.";"The black cat is named Jiji."
313;Animation/Anime;2;"Dans Cobra (Space Adventure Cobra), quelle est la particularité de l'arme de Cobra ?";"In Space Adventure Cobra, what is special about Cobra’s weapon?";"A) Un canon intégré à son bras | B) Une épée laser | C) Un arc magique | D) Un pistolet parlant";"A) A cannon built into his arm | B) A lightsaber | C) A magic bow | D) A talking gun";"A";"Cobra possède un Psychogun intégré à son bras.";"Cobra has a Psychogun built into his arm."
314;Animation/Anime;3;"Dans Les Maîtres de l'Univers, comment s'appelle l'antagoniste principal de He-Man ?";"In Masters of the Universe, what is the name of He-Man’s main antagonist?";"A) Skeletor | B) Shredder | C) Krang | D) Cobra Commander";"A) Skeletor | B) Shredder | C) Krang | D) Cobra Commander";"A";"L'ennemi emblématique de He-Man est Skeletor.";"He-Man’s iconic enemy is Skeletor."
315;Jeu vidéo;1;"Sur NES, quel plombier est le héros de Super Mario Bros. ?";"On the NES, which plumber is the hero of Super Mario Bros.?";"A) Mario | B) Luigi | C) Wario | D) Bowser";"A) Mario | B) Luigi | C) Wario | D) Bowser";"A";"Le héros principal est Mario.";"The main hero is Mario."
316;Jeu vidéo;1;"Dans The Legend of Zelda, comment s'appelle la princesse à sauver ?";"In The Legend of Zelda, what is the name of the princess to rescue?";"A) Zelda | B) Peach | C) Daisy | D) Sarah";"A) Zelda | B) Peach | C) Daisy | D) Sarah";"A";"La princesse s'appelle Zelda.";"The princess is named Zelda."
317;Jeu vidéo;2;"Quel jeu contient la phrase « It's dangerous to go alone! Take this. » ?";"Which game contains the line “It’s dangerous to go alone! Take this.”?";"A) The Legend of Zelda | B) Metroid | C) Tetris | D) Final Fantasy";"A) The Legend of Zelda | B) Metroid | C) Tetris | D) Final Fantasy";"A";"Cette réplique apparaît dans le premier The Legend of Zelda (1986)." ;"This line appears in the original The Legend of Zelda (1986)."
318;Jeu vidéo;2;"Dans Metroid, quel est le prénom de la chasseuse de primes sous l'armure ?";"In Metroid, what is the first name of the bounty hunter under the armor?";"A) Samus | B) Sarah | C) Saria | D) Selene";"A) Samus | B) Sarah | C) Saria | D) Selene";"A";"Le personnage principal est Samus Aran.";"The main character is Samus Aran."
319;Jeu vidéo;2;"Quel puzzle game créé dans les années 80 est devenu mondialement célèbre ?";"Which puzzle game created in the 1980s became world-famous?";"A) Tetris | B) Sokoban | C) Columns | D) Bomberman";"A) Tetris | B) Sokoban | C) Columns | D) Bomberman";"A";"Tetris a été créé au milieu des années 80.";"Tetris was created in the mid-1980s."
320;Jeu vidéo;2;"Dans Mega Man, comment s'appelle l'antagoniste scientifique récurrent ?";"In Mega Man, what is the name of the recurring mad scientist antagonist?";"A) Dr. Wily | B) Dr. Robotnik | C) Dr. Doom | D) Dr. Strange";"A) Dr. Wily | B) Dr. Robotnik | C) Dr. Doom | D) Dr. Strange";"A";"Le principal antagoniste est Dr. Wily.";"The main antagonist is Dr. Wily."
321;Jeu vidéo;2;"Dans Donkey Kong (arcade), comment s'appelle le héros à l'époque (avant d'être nommé Mario) ?";"In the arcade Donkey Kong, what is the hero called at the time (before being named Mario)?";"A) Jumpman | B) Link | C) Ryu | D) Sonic";"A) Jumpman | B) Link | C) Ryu | D) Sonic";"A";"Dans Donkey Kong, le personnage est surnommé Jumpman.";"In Donkey Kong, the character is nicknamed Jumpman."
322;Jeu vidéo;3;"Quel jeu d'arcade de 1980 met en scène un personnage rond qui mange des pac-gommes ?";"Which 1980 arcade game features a round character eating pellets?";"A) Pac-Man | B) Q*bert | C) Frogger | D) Galaga";"A) Pac-Man | B) Q*bert | C) Frogger | D) Galaga";"A";"Pac-Man (1980) est le jeu des pac-gommes.";"Pac-Man (1980) is the pellet-eating game."
323;Jeu vidéo;2;"Dans Final Fantasy (1987), comment appelle-t-on les héros liés aux cristaux ?";"In Final Fantasy (1987), what are the heroes tied to the crystals called?";"A) Guerriers de la Lumière | B) Chevaliers du Zodiaque | C) Maîtres du Temps | D) Gardiens de l'Espace";"A) Warriors of Light | B) Zodiac Knights | C) Time Masters | D) Space Guardians";"A";"Les protagonistes sont les Guerriers de la Lumière.";"The protagonists are the Warriors of Light."
324;Jeu vidéo;3;"Dans le premier Street Fighter (1987), quel combattant est le héros jouable principal ?";"In the original Street Fighter (1987), which fighter is the main playable hero?";"A) Ryu | B) Chun-Li | C) Guile | D) Akuma";"A) Ryu | B) Chun-Li | C) Guile | D) Akuma";"A";"Le premier Street Fighter met surtout en avant Ryu.";"The original Street Fighter primarily features Ryu."
325;BD/Comics;2;"Dans Batman: The Dark Knight Returns (1986), quel héros vieillissant revient à l'action ?";"In Batman: The Dark Knight Returns (1986), which aging hero returns to action?";"A) Batman | B) Spider-Man | C) Daredevil | D) Hellboy";"A) Batman | B) Spider-Man | C) Daredevil | D) Hellboy";"A";"L'histoire suit le retour de Batman, plus âgé.";"The story follows an older Batman returning."
326;BD/Comics;3;"Dans Watchmen, quel personnage porte un masque avec des taches d'encre en mouvement ?";"In Watchmen, which character wears a mask with shifting inkblot patterns?";"A) Rorschach | B) Ozymandias | C) Nite Owl | D) The Comedian";"A) Rorschach | B) Ozymandias | C) Nite Owl | D) The Comedian";"A";"Rorschach porte le masque à taches d'encre.";"Rorschach wears the inkblot mask."
327;BD/Comics;2;"Les Tortues Ninja doivent leurs noms à quels artistes ?";"The Teenage Mutant Ninja Turtles are named after which artists?";"A) Des maîtres de la Renaissance italienne | B) Des écrivains romantiques | C) Des astronautes | D) Des rois d'Angleterre";"A) Italian Renaissance masters | B) Romantic writers | C) Astronauts | D) English kings";"A";"Leonardo, Michelangelo, Donatello et Raphael sont des maîtres de la Renaissance.";"Leonardo, Michelangelo, Donatello, and Raphael are Renaissance masters."
328;Culture pop;2;"En France, comment appelle-t-on les Care Bears, populaires dans les années 80 ?";"In France, what are the Care Bears called, popular in the 1980s?";"A) Les Bisounours | B) Les Calinours | C) Les Oursons Gélifiés | D) Les Teddy Stars";"A) Les Bisounours | B) Calinours | C) Gummy Bears | D) Teddy Stars";"A";"Les Care Bears sont connus en France sous le nom « Bisounours ».";"Care Bears are known in France as “Bisounours.”"
329;Film;2;"Quel film d'animation Disney (1989) met en scène Ariel, une sirène ?";"Which Disney animated film (1989) features Ariel, a mermaid?";"A) La Petite Sirène | B) Aladdin | C) Le Roi Lion | D) Mulan";"A) The Little Mermaid | B) Aladdin | C) The Lion King | D) Mulan";"A";"Ariel est l'héroïne de La Petite Sirène.";"Ariel is the heroine of The Little Mermaid."
330;Culture pop;2;"Quel est le nom du baladeur cassette très associé aux années 80, popularisé par Sony ?";"What is the name of the cassette player strongly associated with the 1980s, popularized by Sony?";"A) Walkman | B) Discman | C) iPod | D) Zune";"A) Walkman | B) Discman | C) iPod | D) Zune";"A";"Le Walkman (Sony) a marqué l'ère des cassettes portables.";"The Sony Walkman defined the era of portable cassettes."
